split,delta,candidate,paired_runs,mean_SR_minus_candidate,median_SR_minus_candidate,bootstrap_95_low,bootstrap_95_high,candidate_win_rate,sign_flip_p,wilcoxon_p
validation,0.1,ID_p3_r2_w0_post3,50,-0.7689548104879009,-0.7088431380782911,-1.590596785718544,0.06352485111394024,0.32,0.9658017099145043,0.9951627482351144
validation,0.1,ID_p3_r2_w10_post1,50,-1383909.7985137608,-1958527.4433712063,-1717721.5578355743,-1062164.4307130708,0.06,1.0,0.9999999999999831
validation,0.1,ID_p3_r2_w10_post3,50,-622366.0074830963,-674914.3151360375,-694353.4341325508,-546589.977916053,0.02,1.0,0.9999999999999991
validation,0.1,ID_p3_r2_w1_post1,50,-573825.2991599013,-0.8517486940861895,-1314252.3925169657,-380.7440473709053,0.32,0.9994000299985001,0.9995247957929649
validation,0.1,ID_p3_r2_w1_post3,50,-1313227.1074639827,-877.1696076604615,-1831119.6549317066,-834354.8686622438,0.14,1.0,0.999999999557236
validation,0.2,ID_baseline,50,1.7397059031426128,1.1552692070800066,1.1102096998097846,2.434451079347825,0.78,4.999750012499375e-05,8.227626562273826e-07
validation,0.2,ID_p10_r0.5_w0_post1,50,-0.8380132557403379,-0.8045401067396758,-1.9059354729025468,0.183719673266954,0.34,0.9389030548472577,0.9746973981533955
validation,0.2,ID_p10_r0.5_w0_post3,50,-1.422468290013638,-1.2451493329007506,-2.4944006480251515,-0.36475661395245307,0.22,0.9949002549872507,0.9996642054436915
validation,0.2,ID_p10_r0.5_w10_post1,50,-495119.46879039606,-482362.5799037692,-601584.5947460253,-389753.0285648284,0.06,1.0,0.9999999999999023
validation,0.2,ID_p10_r0.5_w10_post3,50,-169745.8436039645,-216995.39684068106,-204887.02871291057,-136366.94087387162,0.06,1.0,0.9999999999999618
validation,0.2,ID_p10_r0.5_w1_post1,50,-1189018.9628176582,-2.4631386860443705,-1842103.472452346,-591347.1364496945,0.14,1.0,0.9999999887740794
validation,0.2,ID_p10_r0.5_w1_post3,50,-291163.1800989125,-2119.0902580750444,-475728.5044367321,-145546.25125727945,0.12,1.0,0.9999999999911564
validation,0.2,ID_p10_r1_w0_post1,50,-0.7008374558383621,-0.5254487378266527,-1.707316906475589,0.2522312784109441,0.44,0.9109044547772611,0.9185338713196831
validation,0.2,ID_p10_r1_w0_post3,50,-1.3409720866895412,-0.9470555898032071,-2.475223246864393,-0.2601194312978804,0.34,0.9888505574721264,0.993156532737614
validation,0.2,ID_p10_r1_w10_post1,50,-597431.483871123,-656339.3168787621,-808843.187329516,-440416.7843546498,0.04,1.0,0.9999999999999876
validation,0.2,ID_p10_r1_w10_post3,50,-168517.3188227362,-208835.53640846722,-201209.224256301,-135643.69392300892,0.06,1.0,0.9999999999999707
validation,0.2,ID_p10_r1_w1_post1,50,-943126.4848903827,-4.165506377715079,-1465129.9549321346,-479322.59714997,0.12,1.0,0.9999999904610153
